uses_wellness_apps,mindfulness_minutes_per_day,sleep_quality,stress_level,sleep_duration_hours,caffeine_intake_mg_per_day,gaming_hours,entertainment_hours,phone_usage_hours,laptop_usage_hours,gender,daily_screen_time_hours,mood_rating,physical_activity_hours_per_week,mental_health_score,weekly_depression_score,social_media_hours,work_related_hours
True,14.0,4.0,3,7.1,150.4,2.2,2.3,2.9,2.1,Male,6.8,5.6,4.4,79.0,3.0,2.3,3.0
True,15.5,4.0,4,6.8,124.1,1.6,2.0,2.1,1.6,Female,4.1,6.0,4.1,71.0,10.0,2.8,3.5
True,19.5,4.0,6,6.0,218.3,0.9,1.0,3.6,0.0,Male,4.7,4.3,1.4,67.0,7.0,3.7,3.6
True,13.9,4.0,10,7.3,133.7,0.3,0.8,4.5,0.0,Female,6.0,1.3,0.0,55.0,14.0,4.5,4.0
False,26.7,4.0,6,7.0,192.8,2.0,1.2,3.4,2.0,Male,6.7,3.6,2.8,62.0,8.0,3.8,3.5
False,9.2,3.0,9,6.0,191.4,0.7,1.0,2.4,3.4,Male,8.6,1.2,1.4,51.0,13.0,4.5,3.8
False,21.4,4.0,6,6.6,110.3,1.2,1.9,4.1,1.8,Male,5.9,3.1,1.9,62.0,5.0,3.8,3.9
True,13.5,4.0,10,6.9,266.6,0.9,1.2,2.5,2.2,Male,7.3,1.4,0.0,45.0,12.0,4.5,3.8
False,19.6,4.0,1,7.2,162.0,2.6,2.3,1.2,0.5,Female,4.2,9.1,5.1,77.0,2.0,0.3,1.1
True,21.4,4.0,4,8.0,148.0,1.4,1.6,2.0,2.6,Male,5.6,7.7,3.6,78.0,8.0,2.6,3.2
True,14.3,3.0,10,7.7,150.9,1.0,1.4,2.7,2.6,Female,8.1,1.0,0.0,49.0,15.0,4.5,3.9
True,9.4,3.0,10,6.7,130.4,1.9,0.8,2.7,0.7,Male,6.2,1.0,0.0,45.0,20.0,4.5,4.2
True,22.1,5.0,5,8.3,176.7,1.7,1.6,1.0,2.1,Male,3.6,5.2,5.9,67.0,9.0,3.3,3.9
True,22.7,5.0,3,8.7,133.5,1.6,2.4,1.0,0.0,Male,1.0,7.6,4.9,83.0,2.0,2.4,2.9
False,17.0,3.0,7,7.3,162.2,0.9,1.9,1.7,2.3,Male,7.2,4.6,0.0,57.0,6.0,3.9,4.1
True,34.5,4.0,3,7.0,141.6,1.6,1.8,2.5,0.9,Male,4.4,8.5,4.1,74.0,3.0,2.3,3.0
False,6.8,4.0,9,7.6,120.3,0.5,2.3,2.6,0.2,Male,3.7,1.0,0.0,41.0,8.0,4.5,4.0
True,13.0,4.0,6,6.2,183.4,1.6,1.9,2.1,1.9,Female,5.8,3.7,4.6,58.0,11.0,3.8,3.8
False,9.9,4.0,10,7.3,130.3,1.0,1.1,1.2,0.0,Male,3.2,1.0,0.0,43.0,15.0,4.5,4.1
