user_id,age,gender,daily_screen_time_hours,phone_usage_hours,laptop_usage_hours,tablet_usage_hours,tv_usage_hours,social_media_hours,work_related_hours,entertainment_hours,gaming_hours,sleep_duration_hours,sleep_quality,mood_rating,stress_level,physical_activity_hours_per_week,location_type,mental_health_score,uses_wellness_apps,eats_healthy,caffeine_intake_mg_per_day,weekly_anxiety_score,weekly_depression_score,mindfulness_minutes_per_day,total_tech_usage,usage_category
1,53,Male,6.8,2.9,2.1,0.5,2.0,2.3,3.0,2.3,2.2,7.1,4.0,5.6,3,4.4,Rural,79.0,True,True,150.4,7.0,3.0,14.0,5.0,Active/High-Intensity Usage
2,66,Female,4.1,2.1,1.6,0.4,0.8,2.8,3.5,2.0,1.6,6.8,4.0,6.0,4,4.1,Rural,71.0,True,True,124.1,7.0,10.0,15.5,3.7,Active/High-Intensity Usage
3,43,Male,4.7,3.6,0.0,0.5,1.4,3.7,3.6,1.0,0.9,6.0,4.0,4.3,6,1.4,Urban,67.0,True,True,218.3,11.0,7.0,19.5,3.6,Passive Usage
4,29,Female,6.0,4.5,0.0,0.2,1.3,4.5,4.0,0.8,0.3,7.3,4.0,1.3,10,0.0,Rural,55.0,True,True,133.7,17.0,14.0,13.9,4.5,Passive Usage
5,57,Male,6.7,3.4,2.0,0.8,1.2,3.8,3.5,1.2,2.0,7.0,4.0,3.6,6,2.8,Urban,62.0,False,False,192.8,5.0,8.0,26.7,5.4,Active/High-Intensity Usage
6,22,Male,8.6,2.4,3.4,1.4,1.1,4.5,3.8,1.0,0.7,6.0,3.0,1.2,9,1.4,Urban,51.0,False,False,191.4,14.0,13.0,9.2,5.8,Passive Usage
7,35,Male,5.9,4.1,1.8,0.0,0.4,3.8,3.9,1.9,1.2,6.6,4.0,3.1,6,1.9,Suburban,62.0,False,True,110.3,7.0,5.0,21.4,5.8999999999999995,Passive Usage
8,53,Male,7.3,2.5,2.2,0.9,2.4,4.5,3.8,1.2,0.9,6.9,4.0,1.4,10,0.0,Urban,45.0,True,True,266.6,21.0,12.0,13.5,4.7,Passive Usage
9,72,Female,4.2,1.2,0.5,1.2,2.3,0.3,1.1,2.3,2.6,7.2,4.0,9.1,1,5.1,Urban,77.0,False,True,162.0,2.0,2.0,19.6,1.7,Active/High-Intensity Usage
10,33,Male,5.6,2.0,2.6,0.3,1.4,2.6,3.2,1.6,1.4,8.0,4.0,7.7,4,3.6,Suburban,78.0,True,False,148.0,11.0,8.0,21.4,4.6,Active/High-Intensity Usage
11,37,Female,8.1,2.7,2.6,1.4,2.7,4.5,3.9,1.4,1.0,7.7,3.0,1.0,10,0.0,Suburban,49.0,True,False,150.9,11.0,15.0,14.3,5.300000000000001,Passive Usage
12,25,Male,6.2,2.7,0.7,0.6,2.0,4.5,4.2,0.8,1.9,6.7,3.0,1.0,10,0.0,Suburban,45.0,True,False,130.4,14.0,20.0,9.4,3.4000000000000004,Active/High-Intensity Usage
